timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736264509315,25,delete_character,200,OK,Thread Group 1-583,text,true,,249,183,146,146,http://localhost:3001/character/83,25,0,0
1736264509316,25,get_characters,200,OK,Thread Group 1-758,text,true,,3850,159,145,145,http://localhost:3001/characters,25,0,0
1736264509316,25,delete_character,200,OK,Thread Group 1-840,text,true,,249,183,145,145,http://localhost:3001/character/32,25,0,0
1736264509321,20,get_character/id,200,OK,Thread Group 1-686,text,true,,265,161,144,144,http://localhost:3001/character/92,20,0,0
1736264509317,24,post_character,200,OK,Thread Group 1-517,text,true,,265,221,144,144,http://localhost:3001/character,24,0,0
1736264509320,22,post_character,200,OK,Thread Group 1-379,text,true,,265,221,144,144,http://localhost:3001/character,22,0,0
1736264509321,21,delete_character,200,OK,Thread Group 1-136,text,true,,249,183,144,144,http://localhost:3001/character/45,21,0,0
1736264509318,24,post_character,200,OK,Thread Group 1-518,text,true,,264,220,143,143,http://localhost:3001/character,24,0,0
1736264509326,17,delete_character,200,OK,Thread Group 1-779,text,true,,249,182,143,143,http://localhost:3001/character/8,17,0,0
1736264509325,18,post_character,200,OK,Thread Group 1-848,text,true,,265,221,143,143,http://localhost:3001/character,18,0,0
1736264509326,17,get_character/id,200,OK,Thread Group 1-798,text,true,,265,161,142,142,http://localhost:3001/character/30,17,0,0
1736264509320,23,put_character,200,OK,Thread Group 1-253,text,true,,265,221,142,142,http://localhost:3001/character/25,23,0,0
1736264509318,26,put_character,200,OK,Thread Group 1-370,text,true,,265,221,142,142,http://localhost:3001/character/68,26,0,0
1736264509328,16,delete_character,200,OK,Thread Group 1-786,text,true,,249,183,142,142,http://localhost:3001/character/13,16,0,0
1736264509327,17,put_character,200,OK,Thread Group 1-514,text,true,,265,221,142,142,http://localhost:3001/character/47,17,0,0
1736264509328,17,delete_character,200,OK,Thread Group 1-509,text,true,,249,183,142,142,http://localhost:3001/character/66,17,0,0
1736264509326,19,put_character,200,OK,Thread Group 1-130,text,true,,265,221,142,142,http://localhost:3001/character/18,19,0,0
1736264509322,23,delete_character,200,OK,Thread Group 1-367,text,true,,249,183,141,141,http://localhost:3001/character/48,23,0,0
1736264509328,18,put_character,200,OK,Thread Group 1-812,text,true,,265,221,141,141,http://localhost:3001/character/11,18,0,0
1736264509327,19,put_character,200,OK,Thread Group 1-392,text,true,,265,221,139,139,http://localhost:3001/character/23,19,0,0
1736264509291,56,get_character/id,200,OK,Thread Group 1-849,text,true,,264,161,139,139,http://localhost:3001/character/97,56,0,0
1736264509327,20,get_characters,200,OK,Thread Group 1-757,text,true,,3819,159,139,139,http://localhost:3001/characters,20,0,0
1736264509297,51,put_character,200,OK,Thread Group 1-822,text,true,,265,221,139,139,http://localhost:3001/character/62,51,0,0
1736264509323,25,get_characters,200,OK,Thread Group 1-556,text,true,,3912,159,139,139,http://localhost:3001/characters,25,0,0
1736264509328,20,delete_character,200,OK,Thread Group 1-813,text,true,,249,183,139,139,http://localhost:3001/character/72,20,0,0
1736264509329,20,get_character/id,200,OK,Thread Group 1-850,text,true,,265,161,139,139,http://localhost:3001/character/85,20,0,0
1736264509297,52,get_character/id,200,OK,Thread Group 1-773,text,true,,265,161,139,139,http://localhost:3001/character/28,52,0,0
1736264509333,17,delete_character,200,OK,Thread Group 1-843,text,true,,249,183,139,139,http://localhost:3001/character/35,17,0,0
1736264509335,15,get_character/id,200,OK,Thread Group 1-844,text,true,,264,161,138,138,http://localhost:3001/character/60,15,0,0
1736264509335,16,get_character/id,200,OK,Thread Group 1-845,text,true,,264,161,138,138,http://localhost:3001/character/33,16,0,0
1736264509335,16,get_characters,200,OK,Thread Group 1-847,text,true,,3758,159,138,138,http://localhost:3001/characters,16,0,0
1736264509338,13,delete_character,200,OK,Thread Group 1-10,text,true,,249,183,138,138,http://localhost:3001/character/30,13,0,0
1736264509335,18,delete_character,200,OK,Thread Group 1-846,text,true,,249,183,137,137,http://localhost:3001/character/13,18,0,0
1736264508550,803,get_characters,200,OK,Thread Group 1-851,text,true,,3789,159,137,137,http://localhost:3001/characters,803,0,1
1736264509337,16,delete_character,200,OK,Thread Group 1-842,text,true,,249,183,137,137,http://localhost:3001/character/75,16,0,0
1736264509341,13,get_characters,200,OK,Thread Group 1-840,text,true,,3665,159,137,137,http://localhost:3001/characters,13,0,0
1736264509338,16,put_character,200,OK,Thread Group 1-319,text,true,,265,221,137,137,http://localhost:3001/character/48,16,0,0
1736264509341,13,get_character/id,200,OK,Thread Group 1-758,text,true,,265,161,137,137,http://localhost:3001/character/14,13,0,0
1736264509341,13,put_character,200,OK,Thread Group 1-517,text,true,,265,220,137,137,http://localhost:3001/character/3,13,0,0
1736264509342,13,put_character,200,OK,Thread Group 1-379,text,true,,265,221,137,137,http://localhost:3001/character/31,13,0,0
1736264509344,11,delete_character,200,OK,Thread Group 1-370,text,true,,249,183,137,137,http://localhost:3001/character/13,11,0,0
1736264509340,15,put_character,200,OK,Thread Group 1-571,text,true,,265,221,136,136,http://localhost:3001/character/96,15,0,0
1736264509343,14,put_character,200,OK,Thread Group 1-848,text,true,,265,221,136,136,http://localhost:3001/character/61,14,0,0
1736264509341,17,post_character,200,OK,Thread Group 1-686,text,true,,264,220,136,136,http://localhost:3001/character,17,0,0
1736264509342,16,put_character,200,OK,Thread Group 1-518,text,true,,265,221,136,136,http://localhost:3001/character/52,16,0,0
1736264509343,15,delete_character,200,OK,Thread Group 1-253,text,true,,249,183,136,136,http://localhost:3001/character/53,15,0,0
1736264509345,14,delete_character,200,OK,Thread Group 1-130,text,true,,249,183,135,135,http://localhost:3001/character/64,14,0,0
1736264509343,16,post_character,200,OK,Thread Group 1-798,text,true,,265,221,134,134,http://localhost:3001/character,16,0,0
1736264509347,12,get_character/id,200,OK,Thread Group 1-757,text,true,,265,161,134,134,http://localhost:3001/character/73,12,0,0
1736264509346,14,delete_character,200,OK,Thread Group 1-812,text,true,,249,183,134,134,http://localhost:3001/character/45,14,0,0
1736264509344,16,delete_character,200,OK,Thread Group 1-514,text,true,,249,183,133,133,http://localhost:3001/character/70,16,0,0
1736264509347,14,post_character,200,OK,Thread Group 1-849,text,true,,265,221,132,132,http://localhost:3001/character,14,0,0
1736264509347,14,delete_character,200,OK,Thread Group 1-392,text,true,,249,183,132,132,http://localhost:3001/character/17,14,0,0
1736264509351,11,post_character,200,OK,Thread Group 1-845,text,true,,265,221,131,131,http://localhost:3001/character,11,0,0
1736264509350,12,post_character,200,OK,Thread Group 1-844,text,true,,265,221,131,131,http://localhost:3001/character,12,0,0
1736264509351,11,get_character/id,200,OK,Thread Group 1-847,text,true,,264,161,131,131,http://localhost:3001/character/47,11,0,0
1736264509353,9,get_characters,200,OK,Thread Group 1-846,text,true,,3635,159,131,131,http://localhost:3001/characters,9,0,0
1736264508558,805,get_characters,200,OK,Thread Group 1-852,text,true,,3573,159,131,131,http://localhost:3001/characters,805,0,0
1736264509354,10,get_characters,200,OK,Thread Group 1-842,text,true,,3635,159,131,131,http://localhost:3001/characters,10,0,0
1736264509354,10,delete_character,200,OK,Thread Group 1-319,text,true,,249,183,131,131,http://localhost:3001/character/34,10,0,0
1736264509354,10,get_character/id,200,OK,Thread Group 1-840,text,true,,265,161,130,130,http://localhost:3001/character/91,10,0,0
1736264509358,6,delete_character,200,OK,Thread Group 1-518,text,true,,249,183,130,130,http://localhost:3001/character/32,6,0,0
1736264509354,11,post_character,200,OK,Thread Group 1-758,text,true,,265,221,130,130,http://localhost:3001/character,11,0,0
1736264509357,8,delete_character,200,OK,Thread Group 1-848,text,true,,249,183,130,130,http://localhost:3001/character/88,8,0,0
1736264509354,11,delete_character,200,OK,Thread Group 1-517,text,true,,249,183,129,129,http://localhost:3001/character/44,11,0,0
1736264509355,11,delete_character,200,OK,Thread Group 1-571,text,true,,249,183,128,128,http://localhost:3001/character/19,11,0,0
1736264509348,18,get_character/id,200,OK,Thread Group 1-556,text,true,,265,161,127,127,http://localhost:3001/character/33,18,0,0
1736264509360,6,post_character,200,OK,Thread Group 1-757,text,true,,265,221,127,127,http://localhost:3001/character,6,0,0
1736264509355,11,delete_character,200,OK,Thread Group 1-379,text,true,,249,183,127,127,http://localhost:3001/character/30,11,0,0
1736264509349,18,post_character,200,OK,Thread Group 1-773,text,true,,265,221,126,126,http://localhost:3001/character,18,0,0
1736264509359,8,put_character,200,OK,Thread Group 1-798,text,true,,265,221,126,126,http://localhost:3001/character/92,8,0,0
1736264509349,18,get_characters,200,OK,Thread Group 1-813,text,true,,3543,159,126,126,http://localhost:3001/characters,18,0,0
1736264509349,21,post_character,200,OK,Thread Group 1-850,text,true,,265,221,126,126,http://localhost:3001/character,21,0,0
1736264509358,13,put_character,200,OK,Thread Group 1-686,text,true,,265,221,126,126,http://localhost:3001/character/43,13,0,0
1736264509348,23,delete_character,200,OK,Thread Group 1-822,text,true,,249,183,126,126,http://localhost:3001/character/49,23,0,0
1736264509353,18,get_character/id,200,OK,Thread Group 1-851,text,true,,265,161,126,126,http://localhost:3001/character/77,18,0,0
1736264509362,10,put_character,200,OK,Thread Group 1-844,text,true,,265,221,126,126,http://localhost:3001/character/55,10,0,0
1736264509365,7,get_characters,200,OK,Thread Group 1-848,text,true,,3605,159,126,126,http://localhost:3001/characters,7,0,0
1736264509362,10,post_character,200,OK,Thread Group 1-847,text,true,,265,221,126,126,http://localhost:3001/character,10,0,0
1736264509362,10,put_character,200,OK,Thread Group 1-845,text,true,,265,221,126,126,http://localhost:3001/character/78,10,0,0
1736264509361,11,put_character,200,OK,Thread Group 1-849,text,true,,265,221,126,126,http://localhost:3001/character/49,11,0,0
1736264509364,8,post_character,200,OK,Thread Group 1-840,text,true,,265,221,126,126,http://localhost:3001/character,8,0,0
1736264509364,9,get_character/id,200,OK,Thread Group 1-842,text,true,,265,161,126,126,http://localhost:3001/character/18,9,0,0
1736264509362,11,get_character/id,200,OK,Thread Group 1-846,text,true,,265,161,126,126,http://localhost:3001/character/71,11,0,0
1736264509365,8,put_character,200,OK,Thread Group 1-758,text,true,,265,221,126,126,http://localhost:3001/character/75,8,0,0
1736264509366,7,put_character,200,OK,Thread Group 1-757,text,true,,265,222,126,126,http://localhost:3001/character/100,7,0,0
1736264509367,7,delete_character,200,OK,Thread Group 1-798,text,true,,249,183,126,126,http://localhost:3001/character/70,7,0,0
1736264509366,8,post_character,200,OK,Thread Group 1-556,text,true,,265,221,125,125,http://localhost:3001/character,8,0,0
1736264509367,7,put_character,200,OK,Thread Group 1-773,text,true,,265,221,125,125,http://localhost:3001/character/51,7,0,0
1736264509367,8,get_character/id,200,OK,Thread Group 1-813,text,true,,265,161,125,125,http://localhost:3001/character/82,8,0,0
1736264508568,807,get_characters,200,OK,Thread Group 1-853,text,true,,3543,159,125,125,http://localhost:3001/characters,807,0,0
1736264509372,3,delete_character,200,OK,Thread Group 1-845,text,true,,249,183,125,125,http://localhost:3001/character/81,3,0,0
1736264509363,12,get_character/id,200,OK,Thread Group 1-852,text,true,,265,161,124,124,http://localhost:3001/character/25,12,0,0
1736264509372,4,delete_character,200,OK,Thread Group 1-844,text,true,,249,182,124,124,http://localhost:3001/character/7,4,0,0
1736264509372,4,put_character,200,OK,Thread Group 1-847,text,true,,265,221,123,123,http://localhost:3001/character/32,4,0,0
1736264509373,3,post_character,200,OK,Thread Group 1-842,text,true,,265,221,123,123,http://localhost:3001/character,3,0,0
1736264509373,4,post_character,200,OK,Thread Group 1-846,text,true,,265,221,123,123,http://localhost:3001/character,4,0,0
1736264509373,4,delete_character,200,OK,Thread Group 1-758,text,true,,249,183,123,123,http://localhost:3001/character/53,4,0,0
1736264509373,4,put_character,200,OK,Thread Group 1-840,text,true,,265,221,122,122,http://localhost:3001/character/86,4,0,0
1736264509372,6,get_character/id,200,OK,Thread Group 1-848,text,true,,265,161,122,122,http://localhost:3001/character/25,6,0,0
1736264509371,7,delete_character,200,OK,Thread Group 1-686,text,true,,249,183,122,122,http://localhost:3001/character/13,7,0,0
1736264509371,7,get_characters,200,OK,Thread Group 1-822,text,true,,3482,159,121,121,http://localhost:3001/characters,7,0,0
1736264509371,8,post_character,200,OK,Thread Group 1-851,text,true,,265,221,121,121,http://localhost:3001/character,8,0,0
1736264509374,5,delete_character,200,OK,Thread Group 1-757,text,true,,249,183,121,121,http://localhost:3001/character/84,5,0,0
1736264508581,798,get_characters,200,OK,Thread Group 1-854,text,true,,3605,159,120,120,http://localhost:3001/characters,798,0,0
1736264509372,7,delete_character,200,OK,Thread Group 1-849,text,true,,249,183,120,120,http://localhost:3001/character/33,7,0,0
1736264509370,9,put_character,200,OK,Thread Group 1-850,text,true,,265,221,120,120,http://localhost:3001/character/66,9,0,0
1736264509377,3,put_character,200,OK,Thread Group 1-846,text,true,,265,221,120,120,http://localhost:3001/character/54,3,0,0
1736264509376,4,delete_character,200,OK,Thread Group 1-847,text,true,,249,183,120,120,http://localhost:3001/character/38,4,0,0
1736264509378,4,post_character,200,OK,Thread Group 1-848,text,true,,265,221,119,119,http://localhost:3001/character,4,0,0
1736264509376,6,put_character,200,OK,Thread Group 1-842,text,true,,265,221,119,119,http://localhost:3001/character/71,6,0,0
1736264509377,5,delete_character,200,OK,Thread Group 1-840,text,true,,249,183,119,119,http://localhost:3001/character/49,5,0,0
1736264509375,8,post_character,200,OK,Thread Group 1-813,text,true,,265,221,118,118,http://localhost:3001/character,8,0,0
1736264509374,9,delete_character,200,OK,Thread Group 1-773,text,true,,249,183,118,118,http://localhost:3001/character/89,9,0,0
1736264509374,9,put_character,200,OK,Thread Group 1-556,text,true,,265,221,117,117,http://localhost:3001/character/26,9,0,0
1736264509382,2,put_character,200,OK,Thread Group 1-848,text,true,,265,221,117,117,http://localhost:3001/character/83,2,0,0
1736264509375,10,get_character/id,200,OK,Thread Group 1-853,text,true,,265,161,117,117,http://localhost:3001/character/90,10,0,0
1736264509376,9,post_character,200,OK,Thread Group 1-852,text,true,,265,221,117,117,http://localhost:3001/character,9,0,0
1736264508585,800,get_characters,200,OK,Thread Group 1-855,text,true,,3513,159,117,117,http://localhost:3001/characters,800,0,1
1736264509382,3,delete_character,200,OK,Thread Group 1-842,text,true,,249,183,117,117,http://localhost:3001/character/74,3,0,0
1736264509378,8,get_character/id,200,OK,Thread Group 1-822,text,true,,264,161,116,116,http://localhost:3001/character/38,8,0,0
1736264509380,6,delete_character,200,OK,Thread Group 1-846,text,true,,249,183,116,116,http://localhost:3001/character/74,6,0,0
1736264509379,7,put_character,200,OK,Thread Group 1-851,text,true,,265,221,115,115,http://localhost:3001/character/21,7,0,0
1736264509381,5,delete_character,200,OK,Thread Group 1-850,text,true,,249,183,115,115,http://localhost:3001/character/10,5,0,0
1736264508588,799,get_characters,200,OK,Thread Group 1-856,text,true,,3514,159,115,115,http://localhost:3001/characters,799,0,0
1736264509379,8,get_character/id,200,OK,Thread Group 1-854,text,true,,265,161,115,115,http://localhost:3001/character/82,8,0,0
1736264509380,8,get_characters,200,OK,Thread Group 1-849,text,true,,3453,159,115,115,http://localhost:3001/characters,8,0,0
1736264508592,796,get_characters,200,OK,Thread Group 1-857,text,true,,3422,159,115,115,http://localhost:3001/characters,796,0,1
1736264509386,2,post_character,200,OK,Thread Group 1-822,text,true,,265,221,115,115,http://localhost:3001/character,2,0,0
1736264509386,2,delete_character,200,OK,Thread Group 1-851,text,true,,249,183,115,115,http://localhost:3001/character/91,2,0,0
1736264509383,6,delete_character,200,OK,Thread Group 1-556,text,true,,249,183,115,115,http://localhost:3001/character/24,6,0,0
1736264509384,5,delete_character,200,OK,Thread Group 1-848,text,true,,249,183,114,114,http://localhost:3001/character/54,5,0,0
1736264509385,5,post_character,200,OK,Thread Group 1-853,text,true,,265,221,114,114,http://localhost:3001/character,5,0,0
1736264509385,5,put_character,200,OK,Thread Group 1-852,text,true,,265,221,114,114,http://localhost:3001/character/72,5,0,0
1736264509385,5,get_character/id,200,OK,Thread Group 1-855,text,true,,265,160,114,114,http://localhost:3001/character/3,5,0,0
1736264509383,7,put_character,200,OK,Thread Group 1-813,text,true,,265,221,114,114,http://localhost:3001/character/38,7,0,0
